CN(CCC[NH3+])C(=O)C[NH+](C)C ZINC000037050244
CCC[N@H+](C)C[C@H](O)C[NH3+] ZINC000037098205
CCC[N@H+](C)C[C@@H](O)C[NH3+] ZINC000037098206
CCC[N@H+](C)CC(=O)N1CC[NH2+]CC1 ZINC000037098439
CC(C)C[N@H+](C)C[C@H](O)C[NH3+] ZINC000037108341
CC(C)C[N@H+](C)C[C@@H](O)C[NH3+] ZINC000037108342
C[NH+]1CCC(NC(=O)CCC[NH3+])CC1 ZINC000037267587
CNC(=O)C[N@H+](C)CCCC[NH3+] ZINC000037270113
CN(C)C(=O)C[N@H+](C)CCCC[NH3+] ZINC000037270248
C[C@H]([NH3+])C(=O)NCCC[NH+]1CCCC1 ZINC000037467313
C[C@@H]([NH3+])C(=O)NCCC[NH+]1CCCC1 ZINC000037467315
[NH3+]CC(=O)NCCC[NH+]1CCCCC1 ZINC000037467409
CC[N@H+](CCC(N)=O)C1CC[NH2+]CC1 ZINC000037469567
C[C@H]([NH3+])CC(=O)NCC[NH+](C)C ZINC000037475652
C[C@@H]([NH3+])CC(=O)NCC[NH+](C)C ZINC000037475653
C[C@H]([NH3+])CC(=O)NCCC[NH+](C)C ZINC000037475927
C[C@@H]([NH3+])CC(=O)NCCC[NH+](C)C ZINC000037475929
C[C@H]([NH3+])CC(=O)N1CCC[N@H+](C)CC1 ZINC000037476038
C[C@@H]([NH3+])CC(=O)N1CCC[N@H+](C)CC1 ZINC000037476039
C[C@H]([NH3+])CC(=O)NCC[NH+]1CCCC1 ZINC000037476234
C[C@@H]([NH3+])CC(=O)NCC[NH+]1CCCC1 ZINC000037476235
C[C@H]([NH3+])CC(=O)N1CC[NH2+]CC1 ZINC000037476256
C[C@@H]([NH3+])CC(=O)N1CC[NH2+]CC1 ZINC000037476257
C[C@H]([NH3+])CC(=O)N1CCC[NH2+]CC1 ZINC000037476276
C[C@@H]([NH3+])CC(=O)N1CCC[NH2+]CC1 ZINC000037476277
O=C(C[NH2+]C1CC1)N1CC[NH2+]CC1 ZINC000037476968
O=C(C[NH2+]C1CC1)N1CCC[NH2+]CC1 ZINC000037476974
CC(C)[NH2+]CC(=O)NCC[NH+](C)C ZINC000037477065
CC(C)[NH2+]CC(=O)N1CC[NH2+]CC1 ZINC000037477148
CC(C)[NH2+]CC(=O)N1CCC[NH2+]CC1 ZINC000037477154
C[NH2+]CCCC(=O)NCC[NH+](C)C ZINC000037477482
C[NH2+]CCCC(=O)N1CC[NH2+]CC1 ZINC000037477723
C[NH2+]CCCC(=O)N1CCC[NH2+]CC1 ZINC000037477733
C[NH+](C)CCNC(=O)CC[NH2+]C1CC1 ZINC000037478043
C[NH+](C)CCNC(=O)C[NH2+]CC1CC1 ZINC000037478044
O=C(CC[NH2+]C1CC1)N1CC[NH2+]CC1 ZINC000037478319
O=C(C[NH2+]CC1CC1)N1CC[NH2+]CC1 ZINC000037478320
C[NH+](C)CCNC(=O)C1([NH3+])CCCC1 ZINC000037479355
CC[C@@H](C)[NH2+]CC(=O)N1CC[NH2+]CC1 ZINC000037479771
CC[C@H](C)[NH2+]CC(=O)N1CC[NH2+]CC1 ZINC000037479772
CC(C)[NH2+]CCC(=O)N1CC[NH2+]CC1 ZINC000037480184
CCC[C@](C)([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000037481425
CCC[C@@](C)([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000037481426
CC[N@H+](C)CCN1CC[NH2+]CC1 ZINC000037482560
CC[N@@H+]1CC[C@H](CNC(=O)C[NH3+])C1 ZINC000037484132
CC[N@@H+]1CC[C@@H](CNC(=O)C[NH3+])C1 ZINC000037484133
CC[N@@H+]1CC[C@H](CNC(=O)[C@@H](C)[NH3+])C1 ZINC000037484136
